Unnamed: 0,total_cup_points,species,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture
182,84.33,Arabica,Catuai,Honduras,Washed / Wet,2016,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,0.11
183,84.33,Arabica,Caturra,Colombia,Washed / Wet,2016,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,0
184,84.33,Arabica,Caturra,Colombia,Natural / Dry,2015,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,0.11
185,84.33,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,0
186,84.33,Arabica,Typica,Mexico,Washed / Wet,2012,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,0.12
187,84.33,Arabica,Yellow Bourbon,Brazil,Washed / Wet,2011,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,0
188,84.33,Arabica,Caturra,Brazil,Washed / Wet,2011,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,0.02
189,84.33,Arabica,Caturra,Ethiopia,Washed / Wet,2012,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,0
190,84.33,Arabica,Caturra,Guatemala,Washed / Wet,2009,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,0.04
191,84.25,Arabica,Typica,Taiwan,Washed / Wet,2016,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,0.12
192,84.25,Arabica,Other,Thailand,Natural / Dry,2015,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,0.12
193,84.25,Arabica,Caturra,Colombia,Natural / Dry,2016,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,0.11
194,84.25,Arabica,Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,0.11
195,84.25,Arabica,Caturra,Guatemala,Washed / Wet,2015,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,0.1
196,84.25,Arabica,Other,Others,Natural / Dry,2015,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,0.1
197,84.25,Arabica,Caturra,Colombia,Washed / Wet,2015,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,0.11
198,84.25,Arabica,Caturra,Colombia,Washed / Wet,2015,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,0.12
